SA3_CODE,SA3_NAME,MEAN_INCOME,MEAN_INCOME_/_BUS_STOP,MEAN_INCOME_/_TRAIN_STOP,MEAN_INCOME_/_TRAM_STOP
20601,Brunswick - Coburg,57370,179.28125,11474.0,503.2456140350877
20602,Darebin - South,65332,326.66,8166.5,1420.2608695652175
20603,Essendon,69805,324.6744186046512,13961.0,712.295918367347
20604,Melbourne City,70544,277.73228346456693,5038.857142857143,226.10256410256412
20605,Port Phillip,82752,337.76326530612243,41376.0,507.680981595092
20606,Stonnington - West,104392,1512.927536231884,20878.4,915.719298245614
20607,Yarra,74676,643.7586206896551,8297.333333333334,460.962962962963
20701,Boroondara,92562,198.63090128755366,5785.125,339.05494505494505
20702,Manningham - West,58933,935.4444444444445,,
20703,Whitehorse - West,60128,140.48598130841123,15032.0,1503.2
20801,Bayside,95100,165.3913043478261,10566.666666666666,8645.454545454546
20902,Darebin - North,50112,100.82897384305835,10022.4,894.8571428571429
20903,Nillumbik - Kinglake,64009,7112.111111111111,16002.25,
20904,Whittlesea - Wallan,49891,63.39390088945362,6236.375,
21001,Keilor,59173,201.9556313993174,59173.0,4226.642857142857
21002,Macedon Ranges,61026,,,
20802,Glen Eira,69238,129.41682242990655,6923.8,629.4363636363636
20803,Kingston,59175,124.05660377358491,6575.0,
20804,Stonnington - East,97067,1115.712643678161,16177.833333333334,1311.7162162162163
20901,Banyule,61868,110.87455197132617,6874.222222222223,2689.913043478261
21003,Moreland - North,50481,146.74709302325581,6310.125,10096.2
21004,Sunbury,55165,230.81589958158995,27582.5,
21005,Tullamarine - Broadmeadows,47484,64.16756756756757,9496.8,
21101,Knox,53024,313.75147928994085,13256.0,
21102,Manningham - East,74234,,,
21103,Maroondah,54369,,10873.8,
21104,Whitehorse - East,55818,833.1044776119403,27909.0,13954.5
21105,Yarra Ranges,52025,,10405.0,
21201,Cardinia,51791,1125.891304347826,12947.75,
21202,Casey - North,52410,94.6028880866426,17470.0,
21203,Casey - South,49425,87.47787610619469,16475.0,
21204,Dandenong,43805,45.25309917355372,7300.833333333333,
21205,Monash,55548,71.95336787564767,7935.428571428572,
21301,Brimbank,45995,62.748976807639835,7665.833333333333,
21302,Hobsons Bay,62122,149.33173076923077,7765.25,
21303,Maribyrnong,56097,141.6590909090909,9349.5,1246.6
21304,Melton - Bacchus Marsh,52623,103.79289940828403,,
21305,Wyndham,53274,60.81506849315068,10654.8,
21401,Frankston,50591,83.07224958949097,12647.75,
21402,Mornington Peninsula,55238,105.8199233716475,6904.75,
